0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
cle,cin,-6,1,0,0,-9,-7,0,0,-9,-6,0,0,-13,-8,0,0,-13,-14,1,0,-2,-9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,-3,-16,1,0,-8,-13,1,0,1,15,0,0,-16,-3,0,0,-5,8,0,0,-13,-14,1,0,0,0,0,1,0,0,0,1,0,0,0,1
oti,den,6,-13,1,0,-12,-4,0,0,15,-10,1,0,-9,15,0,0,8,-5,1,0,-8,-14,1,0,0,0,0,1,0,0,0,1,0,0,0,1,-10,4,0,0,8,-9,1,0,-6,1,0,0,15,-9,1,0,1,11,0,0,8,-17,1,0,0,0,0,1,0,0,0,1,0,0,0,1
det,gnb,-13,1,0,0,9,12,0,0,-9,-4,0,0,-13,-9,0,0,-14,-9,0,0,-3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-6,-3,0,0,11,-16,1,0,4,-3,1,0,4,-3,1,0,-4,-9,1,0,-13,-8,0,0,0,0,0,1,0,0,0,1,0,0,0,1
pit,rav,15,-10,1,0,-4,-12,1,0,-8,-14,1,0,-3,-16,1,0,-6,-9,1,0,15,-10,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,-6,1,0,-13,-8,0,0,-13,-14,1,0,-9,-7,0,0,-9,-6,0,0,1,15,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sfo,atl,-13,8,0,0,-1,2,0,0,-17,8,0,0,-7,-9,1,0,-2,-9,1,0,-9,-14,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4,1,1,0,18,-16,1,0,-14,-8,0,0,2,-1,1,0,-9,-14,1,0,-6,-10,1,0,0,0,0,1,0,0,0,1,0,0,0,1
car,nor,-16,-3,0,0,-16,-3,0,0,-5,8,0,0,-8,-13,1,0,1,15,0,0,-6,-9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,4,0,0,2,-1,1,0,-9,-14,1,0,18,-16,1,0,-14,-8,0,0,-17,8,0,0,0,0,0,1,0,0,0,1,0,0,0,1
jax,clt,-20,5,0,0,-10,15,0,0,1,-6,1,0,12,9,1,0,-3,4,0,0,-9,-2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,-10,1,0,15,-9,1,0,1,11,0,0,8,-9,1,0,-6,1,0,0,8,-5,1,0,0,0,0,1,0,0,0,1,0,0,0,1
htx,rai,-10,4,0,0,7,4,1,0,11,1,1,0,-3,4,0,0,-16,-10,0,0,-10,-16,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,-7,-9,1,0,-10,15,0,0,-16,18,0,0,-6,-10,1,0,-10,-6,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sdg,crd,-3,4,0,0,15,-10,1,0,-9,-2,0,0,-9,8,0,0,8,-17,1,0,1,-6,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,-16,18,0,0,-6,-10,1,0,-7,-9,1,0,-10,15,0,0,-14,-8,0,0,0,0,0,1,0,0,0,1,0,0,0,1
was,phi,-7,7,0,0,4,7,0,0,-10,-16,1,0,-9,-7,0,0,-10,-6,0,0,11,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,-20,1,0,12,9,1,0,-3,4,0,0,-10,15,0,0,1,-6,1,0,-9,-4,0,0,0,0,0,1,0,0,0,1,0,0,0,1
